image_id,manual_pixels,official_pixels,area_ratio,intersection_pixels,iou,dice,pixel_precision,pixel_recall
001,1822,2771,0.6575243594370264,1771,0.6275690999291282,0.7711735249292402,0.9720087815587267,0.6391194514615662
004,2272,2212,1.027124773960217,2038,0.8331970564186427,0.9090098126672613,0.8970070422535211,0.9213381555153707
005,3492,5610,0.6224598930481283,3441,0.6078431372549019,0.7560975609756098,0.9853951890034365,0.6133689839572193
018,8441,9301,0.9075368239974196,8333,0.8856414071633543,0.9393529478074625,0.9872053074280298,0.8959251693366305
019,12417,11183,1.1103460609854243,10321,0.7772422622185405,0.8746610169491525,0.8311991624385923,0.9229187159080747
